TransactionID,CustomerID,TransactionDate,TransactionValue,ProductCategory,PaymentMethod,CustomerGender,CustomerAgeGroup,Region
TRANS000000,CUST01574,4/9/2023,467907,Sport,Bank Transfer,Female,>50,Surabaya
TRANS000001,CUST01836,8/5/2024,2713789,Beauty,Credit Card,Female,26-35,Surabaya
TRANS000002,CUST01291,4/7/2024,4539248,Fashion,Bank Transfer,Male,18-25,Bandung
TRANS000003,CUST00245,6/12/2024,3058426,Home,Bank Transfer,Male,36-50,Jakarta
TRANS000004,CUST00163,12/18/2023,3304874,Fashion,Bank Transfer,Female,26-35,Jakarta
TRANS000005,CUST00331,11/24/2024,1556151,Electronics,Credit Card,Male,18-25,Bandung
TRANS000006,CUST01956,3/10/2023,1664460,Home,E-Wallet,Female,36-50,Jakarta
TRANS000007,CUST01713,4/10/2023,4194384,Fashion,Credit Card,Female,36-50,Medan
TRANS000008,CUST00112,9/3/2024,1184496,Sport,Bank Transfer,Male,18-25,Surabaya
TRANS000009,CUST01726,6/9/2024,3314052,Home,E-Wallet,Male,>50,Medan
TRANS000010,CUST01410,12/19/2023,1742890,Fashion,Credit Card,Female,18-25,Bandung
TRANS000011,CUST01461,2/7/2024,120627,Sport,E-Wallet,Male,18-25,Denpasar
TRANS000012,CUST01804,4/6/2024,2465582,Electronics,Bank Transfer,Male,>50,Yogyakarta
TRANS000013,CUST00176,7/1/2024,4425435,Home,Bank Transfer,Male,36-50,Medan
TRANS000014,CUST01579,1/20/2024,1017965,Sport,Credit Card,Female,36-50,Yogyakarta
TRANS000015,CUST00655,8/15/2023,1602547,Sport,E-Wallet,Male,36-50,Yogyakarta
TRANS000016,CUST01957,4/17/2024,309963,Beauty,E-Wallet,Female,>50,Denpasar
TRANS000017,CUST00020,1/2/2024,2705092,Fashion,Bank Transfer,Male,26-35,Surabaya
TRANS000018,CUST00848,5/28/2023,743360,Electronics,E-Wallet,Female,18-25,Surabaya
TRANS000019,CUST01470,11/21/2024,2488350,Electronics,Credit Card,Female,18-25,Surabaya
TRANS000020,CUST00610,10/5/2023,623808,Sport,Bank Transfer,Female,18-25,Surabaya
TRANS000021,CUST01428,10/5/2024,2387195,Electronics,E-Wallet,Female,26-35,Denpasar
TRANS000022,CUST01529,4/27/2024,3408360,Electronics,Credit Card,Female,>50,Surabaya
TRANS000023,CUST01980,2/25/2024,1452207,Sport,Credit Card,Female,26-35,Medan
TRANS000024,CUST00224,8/7/2024,2850022,Electronics,Bank Transfer,Male,18-25,Yogyakarta
TRANS000025,CUST01883,5/4/2023,3114756,Sport,Credit Card,Female,>50,Yogyakarta
TRANS000026,CUST01635,7/12/2024,4185275,Sport,Credit Card,Female,18-25,Yogyakarta
TRANS000027,CUST00805,1/5/2023,771526,Electronics,Credit Card,Male,26-35,Bandung
TRANS000028,CUST00379,7/21/2023,220963,Beauty,Credit Card,Female,26-35,Yogyakarta
TRANS000029,CUST00112,9/9/2023,1073565,Home,Bank Transfer,Male,18-25,Surabaya
TRANS000030,CUST01466,11/5/2023,2922920,Electronics,E-Wallet,Male,36-50,Medan
TRANS000031,CUST01084,1/26/2024,2779143,Electronics,Bank Transfer,Female,26-35,Surabaya
TRANS000032,CUST01938,8/20/2023,1548064,Beauty,Credit Card,Female,18-25,Medan
TRANS000033,CUST00798,8/30/2023,3661883,Home,Bank Transfer,Female,26-35,Jakarta
TRANS000034,CUST00876,2/11/2024,3087885,Beauty,Bank Transfer,Male,26-35,Surabaya
TRANS000035,CUST00929,12/4/2024,4280088,Sport,Bank Transfer,Female,36-50,Surabaya
TRANS000036,CUST01621,10/23/2023,3150454,Home,Credit Card,Female,26-35,Jakarta
TRANS000037,CUST01179,5/13/2023,4013543,Beauty,Bank Transfer,Female,36-50,Denpasar
TRANS000038,CUST01771,7/28/2023,3546634,Sport,Credit Card,Female,26-35,Denpasar
TRANS000039,CUST00349,11/15/2023,4403270,Beauty,Credit Card,Male,26-35,Surabaya
TRANS000040,CUST01761,7/28/2024,418849,Sport,E-Wallet,Female,18-25,Jakarta
TRANS000041,CUST01365,2/7/2024,537927,Fashion,Bank Transfer,Female,>50,Surabaya
TRANS000042,CUST01236,1/22/2024,897144,Fashion,Credit Card,Male,18-25,Medan
TRANS000043,CUST00499,10/28/2023,898998,Beauty,E-Wallet,Female,>50,Surabaya
TRANS000044,CUST00411,1/31/2023,1863086,Electronics,Bank Transfer,Male,26-35,Denpasar
TRANS000045,CUST00012,3/27/2024,2050214,Fashion,E-Wallet,Female,18-25,Denpasar
TRANS000046,CUST01358,7/3/2024,4274256,Fashion,Bank Transfer,Male,26-35,Medan
TRANS000047,CUST00174,6/24/2023,4904409,Beauty,Bank Transfer,Male,36-50,Denpasar
TRANS000048,CUST01890,9/1/2024,2445169,Fashion,Credit Card,Female,26-35,Yogyakarta
TRANS000049,CUST01050,6/22/2024,1850731,Home,E-Wallet,Male,18-25,Medan
TRANS000050,CUST00096,10/16/2023,348801,Home,Bank Transfer,Female,36-50,Yogyakarta
TRANS000051,CUST01330,9/23/2024,634889,Beauty,E-Wallet,Female,26-35,Jakarta
TRANS000052,CUST00729,3/21/2023,2400702,Electronics,Credit Card,Male,18-25,Surabaya
TRANS000053,CUST00370,6/20/2024,3453586,Electronics,E-Wallet,Male,36-50,Jakarta
TRANS000054,CUST00775,3/4/2024,196174,Electronics,Credit Card,Female,26-35,Denpasar
TRANS000055,CUST00215,2/6/2024,2121227,Fashion,E-Wallet,Female,36-50,Yogyakarta
TRANS000056,CUST00595,5/31/2024,3259705,Home,E-Wallet,Female,18-25,Medan
